procedure_code,price
DRG2330,80
DRG2365,1200
DRG2368,80
DRG2369,2500
DRG2370,100
DRG2371,3500
DRG1661,1500
DRG2405,400
DRG1821,50
DRG2432,120
DRG2433,120
PCD798,8000
CONS031,25000
CONS032,20000
CONS033,35000
CONS034,25000
DRG2479,300
DRG2480,3000
CONS035,35000
CONS036,25000
CONS037,40000
CONS038,30000
DRG2484,350
DRG2498,150
DRG4623,250
DRG2508,300
PCD274,120000
PCD276,150000
DRG2522,2500
DRG2559,400
DRG2035,500
DRG2580,2500
DRG2357,250
DRG2029,300
MED0101,2500
DRG4951,2500
DRG4643,2500
PCD41,350000
PCD7,150000
PCD6,150000
DIAG256,4500
DRG2593,3000
DRG1829,500
PCD232,500000
PCD231,500000
DRG2519,200
DRG2517,80
DRG2518,80
CONS043,25000
CONS044,20000
DRG2624,1500
CONS045,30000
CONS046,25000
CONS047,20000
CONS048,15000
DIAG517,20000
DRG2643,1500
DRG2312,1500
DRG4668,1000
DRG1838,50
DRG4670,1500
DRG4671,1000
DRG1160,150
DRG2641,50
DRG2642,1500
Pro0001,8000
DIAG127,25000
DRG2655,3000
DRG4682,3500
DRG2658,1500
DRG2675,120
DRG4693,2000
PHOT02,8000
PHOT01,6000
CONS051,20000
CONS052,15000
PCD4254,20000
DRG1918,250
DRG1919,2000
DRG2668,80
DRG7022,1500
DIAG1688,2000
ADM01,15000
FEED01,6000
DRG4723,5000
DIAG593,10000
DRG4686,1500
DRG2753,1200
DRG2754,1500
DRG2708,80
DIAG451,250000
DIAG595,15000
CONS055,25000
CONS056,20000
DRG2789,1500
DRG2790,3500
DRG2791,250
DRG1020,300
PCD118,300000
PCD121,300000
CONS061,20000
CONS062,15000
DRG2854,120000
DRG2859,4000
DRG1644,400
DRG1645,400
DRG2222,400
DRG4766,15000
DRG3159,120
DRG3160,10000
DRG2895,10000
DRG2825,3000
DRG3161,3000
DRG3162,8000
DRG2896,150
DIAG745,10000
ADM02,8000
FEED02,6000
DRG2929,500
DRG2930,500
DRG2932,500
DRG3082,700
MED0286,700
DRG3087,700
DIAG452,150000
DIAG1843,10000
DIAG1846,12000
DIAG1847,35000
DIAG1849,10000
DIAG1850,10000
DIAG1865,10000
DIAG1866,10000
DIAG1872,10000
DIAG1874,10000
DIAG1875,10000
DIAG1876,10000
DIAG1877,10000
DIAG1878,10000
DIAG1879,10000
DIAG1880,10000
DIAG1881,10000
DRG2954,500
DIAG1836,10000
DRG1062,300
DIAG750,10000
DIAG753,10000
DRG4810,5000
DRG2974,1500
DRG3019,300
DRG1771,400
DRG2372,400
DRG3032,450
DIAG604,10000
DRG3043,3000
DRG3044,80
DIAG760,10000
DIAG598,15000
DRG2547,3500
DRG2872,250
DRG4850,3000
DRG2939,250
DRG2940,300
DRG3064,3500
DRG3065,3500
DRG3063,4000
DRG3076,5000
DRG3077,5000
DRG3078,600
DRG3095,3000
DIAG319,3000
DRG1284,3000
DRG3099,3000
DRG1172,200
DIAG323,5000
DIAG762,10000
DIAG329,4500
DIAG380,2000
DIAG763,10000
DIAG335,5000
CONS063,30000
CONS064,15000
DRG4906,500
DRG4907,500
PCD234,500000
DIAG1707,4500
DRG1997,500
DRG3182,50
DRG3184,1200
DRG3185,1000
DRG2463,80
DRG3188,80
DRG1818,1200
DRG3191,1200
MAJ0002,3000
MIN0001,2000
DIAG767,10000
DIAG1915,15000
DIAG1916,15000
DIAG1917,15000
DIAG1918,15000
DIAG1928,15000
DIAG1932,15000
DIAG1934,15000
DIAG1936,15000
DIAG1937,15000
DIAG1939,15000
DIAG1940,15000
DIAG1941,15000
DIAG1942,15000
DIAG1944,15000
DIAG1947,15000
DIAG1948,15000
DIAG1949,15000
DIAG1950,15000
DIAG1954,15000
DIAG1956,15000
DIAG1959,15000
DIAG1961,15000
DIAG1963,15000
DIAG1968,15000
DIAG1969,15000
DIAG1970,15000
DIAG1971,15000
DIAG1973,15000
DIAG1975,15000
DIAG1977,15000
DIAG1979,15000
DIAG1985,15000
DIAG1987,15000
DIAG1989,15000
DIAG1993,15000
DIAG1994,15000
DIAG1997,15000
DIAG1998,15000
DIAG1999,15000
DIAG2000,15000
DIAG2005,15000
DIAG2006,15000
DIAG2169,15000
DIAG2008,15000
DIAG2009,15000
DIAG2010,15000
DIAG2013,15000
DIAG2014,12000
DIAG2015,15000
